@Caption,ブロードバンドサービス等の契約数の推移,,,,,,,
@Creator,総合通信基盤局電気通信事業部データ通信課,,,,,,,
@Date,2021/6/30,,,,,,,
@Language,ja,,,,,,,
@@Title,,,,,,,,
西暦年,四半期,都道府県名,FTTH,DSL,CATV,FWA,BWA,LTE
@@Unit,,,,,,,,
年,期末,,契約数,契約数,契約数,契約数,契約数,契約数
@@Datatype,,,,,,,,
xsd:string,xsd:string,xsd:string,xsd:integer,xsd:integer,xsd:integer,xsd:integer,xsd:integer,xsd:integer
2008,Q3,島根県,"39,230","56,152","23,562",97,-,-
2008,Q3,岡山県,"161,871","169,815","59,732",966,-,-
2008,Q3,広島県,"317,077","262,832","30,062",247,-,-
2008,Q3,山口県,"90,600","115,373","78,454",104,-,-
2008,Q3,徳島県,"65,286","64,086","20,208",210,-,-
2008,Q3,香川県,"71,615","104,325","22,424",378,-,-
2008,Q3,愛媛県,"94,741","132,012","33,394",125,-,-
2008,Q3,高知県,"50,004","60,964","5,871",47,-,-
2008,Q3,福岡県,"556,493","416,478","125,098",159,-,-
2008,Q3,佐賀県,"38,266","56,482","27,527",0,-,-
2008,Q3,長崎県,"74,078","110,176","46,763",483,-,-
2008,Q3,熊本県,"137,699","123,470","28,243",780,-,-
2008,Q3,大分県,"85,455","71,794","61,239",119,-,-
2008,Q3,宮崎県,"70,147","66,332","48,037",442,-,-
2008,Q3,鹿児島県,"116,639","122,381","5,635",171,-,-
2008,Q3,沖縄県,"96,053","93,039","25,716",590,-,-
2008,Q4,都道府県計,"14,420,405","11,601,655","4,082,480","12,983",-,-
2008,Q4,北海道,"545,334","478,801","78,751","2,141",-,-
2008,Q4,青森県,"71,028","120,055","13,701",162,-,-
2008,Q4,岩手県,"84,443","110,562","9,804",0,-,-
2008,Q4,宮城県,"225,459","218,231","33,426",163,-,-
2008,Q4,秋田県,"63,839","92,103","21,307",0,-,-
2008,Q4,山形県,"84,075","101,561","14,658",0,-,-
2008,Q4,福島県,"152,545","166,209",844,6,-,-
2008,Q4,茨城県,"220,467","301,006","47,565",0,-,-
2008,Q4,栃木県,"168,050","185,225","48,964",0,-,-
2008,Q4,群馬県,"184,439","198,923","19,205",1,-,-
2008,Q4,埼玉県,"820,799","686,138","264,176",493,-,-
2008,Q4,千葉県,"768,525","598,244","204,591",440,-,-
2008,Q4,東京都,"2,531,409","1,506,703","557,909","1,008",-,-
2008,Q4,神奈川県,"1,294,502","959,063","390,466","1,675",-,-
2008,Q4,新潟県,"174,639","232,049","24,899",1,-,-
2008,Q4,富山県,"68,829","72,744","85,946",315,-,-
2008,Q4,石川県,"106,215","100,486","33,917",169,-,-
2008,Q4,福井県,"57,121","48,971","59,875",5,-,-
2008,Q4,山梨県,"75,956","79,211","22,901",6,-,-
2008,Q4,長野県,"169,431","186,472","93,192",0,-,-
2008,Q4,岐阜県,"165,425","165,365","87,479",514,-,-
2008,Q4,静岡県,"373,503","451,568","49,979",323,-,-
2008,Q4,愛知県,"845,873","633,734","340,008",31,-,-
2008,Q4,三重県,"120,482","111,012","181,197",158,-,-
2008,Q4,滋賀県,"203,396","97,703","19,201",0,-,-
2008,Q4,京都府,"395,470","267,571","17,878",1,-,-
2008,Q4,大阪府,"1,309,491","751,701","415,815",28,-,-
2008,Q4,兵庫県,"647,204","471,164","207,838",2,-,-
2008,Q4,奈良県,"166,658","124,030","33,852",0,-,-
2008,Q4,和歌山県,"111,195","61,883","28,178",0,-,-
2008,Q4,鳥取県,"39,857","42,057","24,996",0,-,-
2008,Q4,島根県,"41,474","55,528","23,878",96,-,-
2008,Q4,岡山県,"172,673","164,862","60,391","1,021",-,-
2008,Q4,広島県,"330,913","258,134","30,768",247,-,-
2008,Q4,山口県,"96,472","113,057","79,204",113,-,-
2008,Q4,徳島県,"70,756","62,520","20,126",210,-,-
2008,Q4,香川県,"76,329","103,177","21,615",348,-,-
2008,Q4,愛媛県,"100,752","128,619","34,377",126,-,-
2008,Q4,高知県,"52,692","60,148","5,415",161,-,-
2008,Q4,福岡県,"580,956","403,657","126,659",160,-,-
2008,Q4,佐賀県,"40,642","55,612","27,807",0,-,-
2008,Q4,長崎県,"78,598","108,424","47,811",474,-,-
2008,Q4,熊本県,"143,705","121,303","28,700",773,-,-
2008,Q4,大分県,"89,338","70,228","62,805",122,-,-
2008,Q4,宮崎県,"74,070","64,598","48,865",447,-,-
2008,Q4,鹿児島県,"122,503","120,985","5,642",210,-,-
2008,Q4,沖縄県,"102,873","90,258","25,899",833,-,-
2009,Q1,都道府県計,"15,020,409","11,184,182","4,110,056","12,656",-,-
2009,Q1,北海道,"568,005","467,323","78,686","2,165",-,-
2009,Q1,青森県,"75,555","118,170","13,879",165,-,-
2009,Q1,岩手県,"90,075","107,752","9,890",0,-,-
2009,Q1,宮城県,"232,375","214,453","34,075",149,-,-
2009,Q1,秋田県,"67,551","90,416","21,603",0,-,-
2009,Q1,山形県,"87,837","99,536","14,375",0,-,-
2009,Q1,福島県,"161,639","161,522",831,6,-,-
2009,Q1,茨城県,"237,073","293,155","48,312",0,-,-
2009,Q1,栃木県,"179,217","177,992","48,665",0,-,-
2009,Q1,群馬県,"199,296","189,663","19,037",1,-,-
2009,Q1,埼玉県,"859,628","660,501","268,299",468,-,-
2009,Q1,千葉県,"799,145","578,428","209,112",365,-,-
2009,Q1,東京都,"2,584,083","1,424,325","568,465",848,-,-
2009,Q1,神奈川県,"1,341,569","920,446","395,844","1,504",-,-
2009,Q1,新潟県,"188,564","224,413","25,700",2,-,-
2009,Q1,富山県,"71,760","70,630","86,795",319,-,-
2009,Q1,石川県,"111,020","97,332","34,811",166,-,-
2009,Q1,福井県,"59,774","47,338","60,221",5,-,-
2009,Q1,山梨県,"79,244","76,513","22,752",6,-,-
2009,Q1,長野県,"183,206","177,872","92,999",0,-,-
2009,Q1,岐阜県,"173,992","160,042","89,091",450,-,-
2009,Q1,静岡県,"399,541","437,854","46,617",304,-,-
2009,Q1,愛知県,"891,331","605,286","339,656",30,-,-
2009,Q1,三重県,"125,723","107,474","181,184",163,-,-
2009,Q1,滋賀県,"211,124","92,754","19,445",0,-,-
2009,Q1,京都府,"409,965","255,728","18,090",1,-,-
2009,Q1,大阪府,"1,355,408","718,452","413,060",28,-,-
2009,Q1,兵庫県,"674,643","453,463","211,428",2,-,-
2009,Q1,奈良県,"176,706","118,029","33,544",0,-,-
2009,Q1,和歌山県,"117,283","58,557","28,344",0,-,-
2009,Q1,鳥取県,"42,242","40,948","25,411",0,-,-
2009,Q1,島根県,"42,909","54,555","24,033",95,-,-
2009,Q1,岡山県,"180,278","159,929","60,874","1,066",-,-
2009,Q1,広島県,"339,847","252,439","31,851",251,-,-
2009,Q1,山口県,"101,186","111,132","80,756",113,-,-
2009,Q1,徳島県,"75,189","60,920","15,859",215,-,-
2009,Q1,香川県,"80,629","101,814","20,825",404,-,-
2009,Q1,愛媛県,"105,823","125,389","35,431",151,-,-
2009,Q1,高知県,"55,171","59,479","5,871",220,-,-
2009,Q1,福岡県,"602,179","391,756","126,935",143,-,-
2009,Q1,佐賀県,"42,665","55,074","27,968",0,-,-
2009,Q1,長崎県,"83,060","106,172","48,448",451,-,-
2009,Q1,熊本県,"150,552","119,366","29,076",767,-,-
2009,Q1,大分県,"92,867","68,735","62,074",124,-,-
2009,Q1,宮崎県,"77,423","62,898","48,669",453,-,-
2009,Q1,鹿児島県,"128,340","120,063","5,521",185,-,-
2009,Q1,沖縄県,"107,717","88,094","25,644",871,-,-
2009,Q2,都道府県計,"15,893,631","10,835,123","4,180,831","12,974","8,698",-
2009,Q2,北海道,"606,770","455,666","79,375","2,184",16,-
2009,Q2,青森県,"81,880","115,704","14,103",177,0,-
2009,Q2,岩手県,"96,533","105,034","10,009",0,0,-
2009,Q2,宮城県,"247,905","216,942","35,121",131,3,-
2009,Q2,秋田県,"72,740","86,532","21,890",0,1,-
2009,Q2,山形県,"94,136","96,594","14,516",0,2,-
2009,Q2,福島県,"172,436","156,178",866,6,0,-
2009,Q2,茨城県,"257,368","284,650","48,932",0,12,-
2009,Q2,栃木県,"190,571","171,725","48,515",0,3,-
2009,Q2,群馬県,"212,836","182,968","19,393",1,5,-
2009,Q2,埼玉県,"906,700","638,335","273,992",449,118,-
2009,Q2,千葉県,"843,598","558,940","213,458",349,107,-
2009,Q2,東京都,"2,702,540","1,380,442","583,654",790,"6,378",-
2009,Q2,神奈川県,"1,413,513","884,205","405,517","1,487","1,238",-
2009,Q2,新潟県,"202,722","216,372","27,282",3,1,-
2009,Q2,富山県,"75,742","69,621","87,953",372,0,-
2009,Q2,石川県,"117,927","94,695","35,724",159,1,-
2009,Q2,福井県,"62,922","46,082","60,838",6,101,-
2009,Q2,山梨県,"86,268","73,571","22,689",25,4,-
2009,Q2,長野県,"198,587","171,123","93,519",0,3,-
2009,Q2,岐阜県,"184,433","155,096","91,822",393,2,-
2009,Q2,静岡県,"430,052","424,727","45,652",308,5,-
2009,Q2,愛知県,"948,964","578,088","342,016",30,53,-
2009,Q2,三重県,"133,080","104,589","182,755",161,4,-
2009,Q2,滋賀県,"221,948","88,115","19,836",0,6,-
2009,Q2,京都府,"434,438","246,400","18,713",1,27,-
2009,Q2,大阪府,"1,422,111","705,539","421,836",26,129,-
2009,Q2,兵庫県,"712,739","417,635","212,097",2,25,-
2009,Q2,奈良県,"187,351","112,679","33,493",0,3,-
2009,Q2,和歌山県,"123,218","55,686","28,754",0,0,-
2009,Q2,鳥取県,"45,226","39,781","26,038",0,2,-
2009,Q2,島根県,"46,355","54,021","24,631",96,0,-
2009,Q2,岡山県,"190,586","156,510","61,748","1,096",20,-
2009,Q2,広島県,"358,450","247,925","32,202",450,6,-
2009,Q2,山口県,"108,832","109,093","81,149",115,0,-
2009,Q2,徳島県,"81,093","59,398","14,593",223,2,-
2009,Q2,香川県,"86,593","100,566","20,176",420,0,-
2009,Q2,愛媛県,"114,364","121,075","37,316",156,408,-
2009,Q2,高知県,"59,712","58,787","5,891",217,0,-
2009,Q2,福岡県,"636,327","382,183","129,730",152,2,-
2009,Q2,佐賀県,"45,217","54,534","28,696",0,0,-
2009,Q2,長崎県,"89,361","104,488","50,655",521,0,-
2009,Q2,熊本県,"158,708","117,810","29,286",785,1,-
2009,Q2,大分県,"98,559","67,234","63,460",118,1,-
2009,Q2,宮崎県,"81,693","61,863","49,567",451,1,-
2009,Q2,鹿児島県,"136,045","119,398","5,505",199,5,-
2009,Q2,沖縄県,"114,482","86,524","25,868",915,3,-
2009,Q3,都道府県計,"16,528,494","10,505,167","4,242,634","12,766","22,585",-
2009,Q3,北海道,"630,646","445,977","79,860","2,188",91,-
2009,Q3,青森県,"87,220","114,162","14,260",185,0,-
2009,Q3,岩手県,"102,159","103,394","10,211",0,2,-
2009,Q3,宮城県,"261,080","210,288","35,681",111,21,-
2009,Q3,秋田県,"76,406","85,280","22,101",0,1,-
2009,Q3,山形県,"98,520","95,038","14,595",0,6,-
2009,Q3,福島県,"181,877","152,717",883,1,3,-
2009,Q3,茨城県,"271,238","278,699","49,693",0,66,-
2009,Q3,栃木県,"202,098","166,479","48,543",0,31,-
2009,Q3,群馬県,"224,447","177,038","19,949",1,630,-
2009,Q3,埼玉県,"945,478","616,958","278,541",428,793,-
2009,Q3,千葉県,"874,675","542,431","218,404",334,692,-
2009,Q3,東京都,"2,771,104","1,323,224","596,529",712,"13,914",-
2009,Q3,神奈川県,"1,461,063","853,733","410,936","1,385","2,186",-
2009,Q3,新潟県,"216,860","209,872","28,641",3,5,-
2009,Q3,富山県,"78,835","68,595","88,737",379,1,-
2009,Q3,石川県,"123,067","92,427","35,777",156,6,-
